timestamp,medianAPY,avg7day
2022-02-11,7.175,
2022-02-12,7.27,
2022-02-13,5.29,
2022-02-14,5.795,
2022-02-15,6.16,
2022-02-16,6.23,
2022-02-17,5.75,6.238571428571428
2022-02-18,6.14,6.090714285714285
2022-02-19,5.3,5.809285714285714
2022-02-20,5.42,5.827857142857143
2022-02-21,5.57,5.795714285714285
2022-02-22,6.85,5.894285714285715
2022-02-23,5.16,5.741428571428571
2022-02-24,9.205,6.234999999999999
2022-02-25,6.335,6.262857142857143
2022-02-26,4.94,6.211428571428571
2022-02-27,4.02,6.011428571428572
2022-02-28,5.52,6.0042857142857144
2022-03-01,6.03,5.887142857142857
2022-03-02,6.315,6.052142857142856
2022-03-03,5.05,5.458571428571427
2022-03-04,5,5.267857142857143
2022-03-05,5.11,5.292142857142857
2022-03-06,4.03,5.29357142857143
2022-03-07,5.11,5.235
2022-03-08,5.8,5.202142857142857
2022-03-09,5.335,5.062142857142858
2022-03-10,5.1,5.069285714285714
2022-03-11,3.94,4.917857142857143
2022-03-12,3.93,4.7492857142857146
2022-03-13,3.85,4.723571428571428
2022-03-14,4.31,4.609285714285714
2022-03-15,4.19,4.3792857142857144
2022-03-16,4.78,4.3
2022-03-17,4.52,4.217142857142858
2022-03-18,4.04,4.231428571428571
2022-03-19,4.46,4.307142857142858
2022-03-20,4.865,4.452142857142857
2022-03-21,4.72,4.510714285714286
2022-03-22,5.585,4.71
2022-03-23,5,4.741428571428571
2022-03-24,4.92,4.798571428571429
2022-03-25,5.38,4.99
2022-03-26,4.845,5.045000000000001
2022-03-27,1.81486,4.609265714285714
2022-03-28,2.65612,4.314425714285714
2022-03-29,2.4864,3.8717685714285714
2022-03-30,2.27597,3.4826214285714285
2022-03-31,2.6626,3.1601357142857145
2022-04-01,2.46926,2.7443157142857144
2022-04-02,2.29871,2.38056
2022-04-03,1.8965,2.3922228571428574
2022-04-04,2.29851,2.341135714285714
2022-04-05,1.98386,2.269344285714286
2022-04-06,2.70721,2.33095
2022-04-07,1.90526,2.2227585714285714
2022-04-08,1.91512,2.143595714285714
2022-04-09,1.38631,2.013252857142857
2022-04-10,1.28252,1.9255414285714285
2022-04-11,2.53826,1.9597914285714286
2022-04-12,2.10372,1.9769142857142856
2022-04-13,1.62747,1.8226657142857143
2022-04-14,1.75048,1.8005542857142858
2022-04-15,1.34675,1.7193585714285715
2022-04-16,1.06703,1.6737471428571429
2022-04-17,1.11265,1.6494800000000003
2022-04-18,2.04499,1.579012857142857
2022-04-19,1.60998,1.5084785714285716
2022-04-20,1.57832,1.5014571428571428
2022-04-21,1.89403,1.5219642857142859
2022-04-22,1.57328,1.5543257142857143
2022-04-23,1.18612,1.5713385714285715
2022-04-24,1.15843,1.5778785714285715
2022-04-25,2.03568,1.5765485714285714
2022-04-26,1.88132,1.6153114285714287
2022-04-27,1.55788,1.612391428571429
2022-04-28,1.56836,1.5658671428571431
2022-04-29,1.97002,1.6225442857142856
2022-04-30,1.79123,1.7089885714285715
2022-05-01,1.71913,1.7890885714285716
2022-05-02,1.45559,1.7062185714285714
2022-05-03,1.56558,1.6611128571428573
2022-05-04,1.99654,1.7237785714285714
2022-05-05,2.30518,1.8290385714285713
2022-05-06,1.91307,1.820902857142857
2022-05-07,1.49128,1.7780528571428569
2022-05-08,2.06499,1.8274614285714283
2022-05-09,3.66062,2.142465714285714
2022-05-10,3.69526,2.446705714285714
2022-05-11,6.08247,3.0304100000000003
2022-05-12,5.79969,3.5296257142857144
2022-05-13,4.31973,3.873434285714286
2022-05-14,2.58886,4.030231428571429
2022-05-15,2.36224,4.072695714285714
2022-05-16,2.52001,3.9097514285714285
2022-05-17,2.21964,3.6989485714285713
2022-05-18,2.5145,3.189238571428571
2022-05-19,2.43431,2.7084699999999997
2022-05-20,1.96838,2.3725628571428574
2022-05-21,1.34725,2.1951899999999998
2022-05-22,1.46567,2.0671085714285713
2022-05-23,2.05496,2.000672857142857
2022-05-24,1.92557,1.958662857142857
2022-05-25,1.62776,1.8319857142857143
2022-05-26,2.5951,1.8549557142857143
2022-05-27,2.43565,1.9217085714285713
2022-05-28,1.41676,1.9316385714285715
2022-05-29,1.23278,1.8983685714285716
2022-05-30,2.03382,1.8953485714285716
2022-05-31,1.85058,1.8846357142857144
2022-06-01,2.13395,1.9569485714285713
2022-06-02,1.45106,1.7935142857142858
2022-06-03,1.49607,1.6592885714285714
2022-06-05,1.05008,1.6069057142857142
2022-06-06,1.7677,1.683322857142857
2022-06-07,2.01344,1.6804114285714284
2022-06-08,1.38062,1.6132742857142854
2022-06-09,1.11853,1.4682142857142857
2022-06-10,1.77741,1.5148357142857143
2022-06-11,2.0688,1.5966542857142856
2022-06-12,2.35954,1.78372
2022-06-13,4.52472,2.1775800000000003
2022-06-14,3.61551,2.4064471428571426
2022-06-15,3.60312,2.723947142857143
2022-06-16,2.97584,2.989277142857143
2022-06-17,2.20706,3.0506557142857145
2022-06-18,3.32177,3.2296514285714286
2022-06-19,3.11237,3.3371985714285715
2022-06-20,2.63419,3.0671228571428566
2022-06-21,2.43382,2.89831
2022-06-22,2.23286,2.7025585714285714
2022-06-23,1.84714,2.5413157142857146
2022-06-24,2.40963,2.5702542857142854
2022-06-25,1.84854,2.3597928571428572
2022-06-26,1.6675,2.1533828571428573
2022-06-27,1.84247,2.04028
2022-06-28,2.04401,1.9845928571428573
2022-06-29,2.11102,1.9671871428571428
2022-06-30,2.41904,2.048887142857143
2022-07-01,1.99628,1.989837142857143
2022-07-02,1.33476,1.91644
2022-07-03,1.26571,1.8590414285714287
2022-07-04,1.67931,1.835732857142857
2022-07-05,1.89991,1.8151471428571428
2022-07-06,1.82613,1.7744485714285716
2022-07-07,2.08492,1.7267171428571426
2022-07-08,2.12444,1.7450257142857144
2022-07-09,1.6,1.7829171428571426
2022-07-10,1.67433,1.8412914285714286
2022-07-11,2.02594,1.8908099999999999
2022-07-12,2.34241,1.9540242857142853
2022-07-13,2.3814,2.0333485714285713
2022-07-14,2.69937,2.1211271428571425
2022-07-15,2.36822,2.1559528571428572
2022-07-16,2.45216,2.2776899999999998
2022-07-17,1.82993,2.2999185714285715
2022-07-18,3.01959,2.4418685714285715
2022-07-19,2.94412,2.5278271428571437
2022-07-20,2.72548,2.5769814285714285
2022-07-21,2.30207,2.520224285714286
2022-07-22,2.22116,2.4992157142857145
2022-07-23,1.76816,2.4015014285714287
2022-07-24,1.82554,2.4008742857142855
2022-07-25,2.12923,2.2736799999999997
2022-07-26,2.13674,2.15834
2022-07-27,2.58885,2.1388214285714287
2022-07-28,2.68616,2.193691428571429
2022-07-29,2.4394,2.2248685714285714
2022-07-30,2.15567,2.280227142857143
2022-07-31,2.02026,2.3080442857142858
2022-08-01,2.18943,2.316644285714286
2022-08-02,2.47102,2.364398571428571
2022-08-03,2.32727,2.32703
2022-08-04,2.07499,2.23972
2022-08-05,2.39649,2.2335900000000004
2022-08-06,1.91744,2.1995571428571425
2022-08-07,1.69993,2.1537957142857147
2022-08-08,2.61327,2.2143442857142857
2022-08-09,2.57378,2.229024285714286
2022-08-10,3.00527,2.3258814285714284
2022-08-11,2.8875,2.4419542857142855
2022-08-12,2.31812,2.4307585714285715
2022-08-13,2.69993,2.5425428571428577
2022-08-14,2.44611,2.64914
2022-08-15,2.46822,2.6284185714285715
2022-08-16,2.31004,2.590741428571429
2022-08-17,2.898,2.5754171428571424
2022-08-18,2.14623,2.4695214285714284
2022-08-19,3.5222,2.641532857142857
2022-08-20,2.68381,2.63923
2022-08-21,2.21,2.6054999999999997
2022-08-22,2.38928,2.594222857142857
2022-08-23,2.40015,2.607095714285714
2022-08-24,2.22369,2.5107657142857143
2022-08-25,2.14641,2.510791428571429
2022-08-26,2.75076,2.400585714285714
2022-08-27,2.57972,2.385715714285714
2022-08-28,2.04101,2.3615742857142856
2022-08-29,2.62863,2.3957671428571428
2022-08-30,2.97613,2.47805
2022-08-31,2.48017,2.5146900000000003
2022-09-01,2.3543,2.5443885714285708
2022-09-02,2.33997,2.4857042857142853
2022-09-03,1.76198,2.368884285714286
2022-09-04,1.69797,2.3198785714285712
2022-09-05,1.9863,2.228117142857143
2022-09-06,2.89642,2.2167299999999996
2022-09-07,2.78167,2.259801428571429
2022-09-08,3.3536,2.402558571428571
2022-09-09,2.75512,2.4618657142857145
2022-09-10,2.18,2.521582857142857
2022-09-11,2.12183,2.582134285714286
2022-09-12,2.66462,2.679037142857143
2022-09-13,3.18804,2.720697142857143
2022-09-14,2.43,2.6704585714285716
2022-09-15,2.87017,2.601397142857143
2022-09-16,2.53,2.569237142857143
2022-09-17,2.08924,2.5562714285714287
2022-09-18,2.61047,2.6260771428571426
2022-09-19,2.99156,2.672782857142857
2022-09-20,2.58282,2.5863228571428567
2022-09-21,3.61733,2.7559414285714285
2022-09-22,3.11,2.7902028571428565
2022-09-23,3.16627,2.8810985714285713
2022-09-24,2.60168,2.9543042857142856
2022-09-25,2.30767,2.911047142857143
2022-09-26,2.69263,2.8683428571428573
2022-09-27,2.98,2.9250828571428573
2022-09-28,2.90928,2.823932857142857
2022-09-29,2.69228,2.7642585714285715
2022-09-30,2.66508,2.69266
2022-10-01,2.34543,2.656052857142857
2022-10-02,2.33254,2.6596057142857146
2022-10-03,2.58294,2.643935714285714
2022-10-04,2.73419,2.6088199999999993
2022-10-05,2.529,2.554494285714285
2022-10-06,2.69456,2.55482
2022-10-07,2.66911,2.5553957142857144
2022-10-08,1.93185,2.4963128571428572
2022-10-09,1.95485,2.442357142857143
2022-10-10,2.38668,2.4143200000000005
2022-10-11,2.52996,2.385144285714286
2022-10-12,2.26919,2.3480285714285714
2022-10-13,3.30884,2.4357828571428572
2022-10-14,2.69914,2.4400728571428574
2022-10-15,2.13793,2.469512857142857
2022-10-16,2.25945,2.513027142857143
2022-10-17,2.43613,2.520091428571429
2022-10-18,2.74,2.550097142857143
2022-10-19,2.53254,2.5877185714285718
2022-10-20,2.5542,2.479912857142857
2022-10-21,2.61625,2.4680714285714282
2022-10-22,2.21116,2.4785328571428566
2022-10-23,2.41499,2.500752857142857
2022-10-24,2.54496,2.5163
2022-10-25,3.3,2.5963
2022-10-26,3.26689,2.7012071428571427
2022-10-27,2.94485,2.7570142857142854
2022-10-28,2.71179,2.770662857142857
2022-10-29,2.98264,2.8808742857142855
2022-10-30,3.14518,2.9851871428571433
2022-10-31,2.93966,3.041572857142857
2022-11-01,2.70934,2.9571928571428576
2022-11-02,3.07469,2.9297357142857146
2022-11-03,2.98837,2.9359528571428575
2022-11-04,3.4042,3.0348685714285715
2022-11-05,3.19896,3.0657714285714284
2022-11-06,2.87589,3.027301428571429
2022-11-07,3.25653,3.0725685714285715
2022-11-08,4.65435,3.350427142857143
2022-11-09,5.62155,3.7142642857142856
2022-11-10,5.07425,4.0122471428571425
2022-11-11,4.31965,4.143025714285714
2022-11-12,3.53849,4.191529999999999
2022-11-13,3.31251,4.2539042857142855
2022-11-14,4,4.360114285714285
2022-11-15,3.47694,4.191912857142857
2022-11-16,3.17339,3.8421757142857147
2022-11-17,2.88382,3.5292571428571433
2022-11-18,2.72718,3.3017614285714285
2022-11-19,2.47358,3.149631428571429
2022-11-20,2.99496,3.1042671428571427
2022-11-21,3.38298,3.0161214285714286
2022-11-22,3.1153,2.9644585714285716
2022-11-23,3.00104,2.9398371428571433
2022-11-24,2.86852,2.937651428571429
2022-11-25,2.55879,2.9135957142857145
2022-11-26,2.58025,2.9288342857142857
2022-11-27,2.24319,2.8214385714285712
2022-11-28,2.80449,2.7387971428571434
2022-11-29,2.81011,2.695198571428572
2022-11-30,3.07531,2.705808571428572
2022-12-01,2.64154,2.673382857142857
2022-12-02,2.58596,2.6772642857142857
2022-12-03,2.18,2.620085714285714
2022-12-04,1.97856,2.5822814285714286